id,name,parent_id/id
cwa_cbl_cat.1018003,sinas,cwa_cbl_cat.1018000
cwa_cbl_cat.1018030,sport- en energiedranken,cwa_cbl_cat.1018000
cwa_cbl_cat.1018015,(vruchten)limonadesiropen en -poeders,cwa_cbl_cat.1018000
cwa_cbl_cat.1018020,"vruchtensappen, vruchtendranken, groentesappen",cwa_cbl_cat.1018000
cwa_cbl_cat.1018035,weidranken met vruchten,cwa_cbl_cat.1018000
cwa_cbl_cat.1017517,mousserende wijn,cwa_cbl_cat.1017500
cwa_cbl_cat.1017530,overige alcoholhoudende dranken,cwa_cbl_cat.1017500
cwa_cbl_cat.1017525,overige aperitieven,cwa_cbl_cat.1017500
cwa_cbl_cat.1017505,rode wijn,cwa_cbl_cat.1017500
cwa_cbl_cat.1017515,ros̩ wijnen,cwa_cbl_cat.1017500
cwa_cbl_cat.1017520,sherry's,cwa_cbl_cat.1017500
cwa_cbl_cat.1017510,witte wijn,cwa_cbl_cat.1017500
cwa_cbl_cat.1016520,"verpakte pinda's, verpakte noten",cwa_cbl_cat.1016500
cwa_cbl_cat.1016510,zoute biscuits en koekjes,cwa_cbl_cat.1016500
cwa_cbl_cat.1016205,"snoep, zacht suikerwerk",cwa_cbl_cat.1016200
cwa_cbl_cat.1015505,jam,cwa_cbl_cat.1015500
cwa_cbl_cat.1014505,reformproducten,cwa_cbl_cat.1014500
cwa_cbl_cat.1013511,"soepen droog, niet portie",cwa_cbl_cat.1013500
cwa_cbl_cat.1013506,"soepen droog, portie",cwa_cbl_cat.1013500
cwa_cbl_cat.1013515,"soepen nat, niet portie",cwa_cbl_cat.1013500
cwa_cbl_cat.1013513,"soepen nat, portie",cwa_cbl_cat.1013500
cwa_cbl_cat.1013530,soepstengels en croutons,cwa_cbl_cat.1013500
cwa_cbl_cat.1013525,vermicelli,cwa_cbl_cat.1013500
cwa_cbl_cat.1013060,ijspoeder,cwa_cbl_cat.1013000
cwa_cbl_cat.1013010,"mixen voor taart, gebak, cake, pizzabodem",cwa_cbl_cat.1013000
cwa_cbl_cat.1013015,"mix voor pannenkoek, poffertjes, oliebollen",cwa_cbl_cat.1013000
cwa_cbl_cat.1013045,puddingpoeder,cwa_cbl_cat.1013000
cwa_cbl_cat.1013050,"puddingsaus, bessensap",cwa_cbl_cat.1013000
cwa_cbl_cat.1013035,"taartbodems, pizzabodems",cwa_cbl_cat.1013000
cwa_cbl_cat.1013055,toppings,cwa_cbl_cat.1013000
cwa_cbl_cat.1013040,vlaaivullingen,cwa_cbl_cat.1013000
cwa_cbl_cat.1012005,rijst HB,cwa_cbl_cat.1012000
cwa_cbl_cat.1011515,zoetmiddelen,cwa_cbl_cat.1011500
cwa_cbl_cat.1011005,"koffiemelk, koffieroom",cwa_cbl_cat.1011000
