id,name
1521530,filet americain
1521535,pate
1522000,salades en sauzen
1522005,schepsalades los
1522010,verpakte salades
1522015,sauzen los
1522020,sauzen verpakt
1600000,"vis, schaal- en schelpdieren"
1610000,"houdbare vis, schaal- en schelpdieren"
1610500,houdbare visproducten
1610505,"vis, schaal- en schelpdieren in blik"
1610510,visproducten in tube
1610515,"vis, schaal- en schelpdieren in glas"
1620000,(semi)verse vis
1620500,verse vis
1620505,"verse vis, onbewerkt, gefileerd, gerookt, gedroogd"
1620510,gebakken / gefrituurde vis
1620515,maatjesharing
1621000,schaal- en schelpdieren
1621005,schaal- en schelpdieren
1621500,verpakte vis
1621505,verpakte vis niet in glas
1621510,overige vis in glas
1621515,haring in glas of emmer
1622000,verpakte schaal- en schelpdieren
1622005,verpakte schaal- en schelpdieren
1630000,"diepvries vis, schaal- en schelpdieren"
1630500,diepvries vis
1630505,vis naturel / toebereid
1630510,gecoate vis
1630515,diepvries maatjesharng
1631000,diepvries schaal- en schelpdieren
1631005,schaal en schelpdieren
1700000,brood en gebak
1710000,houdbaar brood en gebak
1710500,houdbaar brood
1710505,roggebrood
1710510,buitenlands/houdbaar  brood
1710515,halffabrikaten
1711000,broodvervangers
1711005,beschuit
1711010,gepofte rijstwafels
1711015,knäckebröd
1711020,geroosterd brood / crackers groot
1711025,ontbijtkoek
1720000,vers brood en gebak
1720500,groot brood
1720505,wit brood
1720510,bruin brood
1720515,volkorenbrood
1720520,meergranenbrood
1720530,gevuld brood
1721000,klein brood
1721005,klein witbrood
1721010,klein bruinbrood
1721015,klein brood volkoren en meergranen
1721020,klein brood gevuld
1721300,halffabrikaat
1721315,halffabrikaat vers gekoeld 
1721500,snacks
1721505,hartige snacks
1721510,zoete snacks
1721515,broodsnacks groot
1722000,stokbrood
1722005,stokbrood
1722010,gekoelde halffabrikaten groot
1722500,seizoensbrood
1722505,seizoensbrood
1723000,groot gebak
1723005,taarten en schnittes
1723010,vlaaien
1723500,klein gebak
1723505,klein gebak
1724000,banket
1724005,banket
1730000,diepvries brood en gebak
1730500,diepvries bakkerijproducten
1730505,bladerdeeg
1731000,gebak
1731005,groot gebak
1731010,klein gebak
1800000,maaltijden
1810000,houdbare maaltijden
1810500,houdbare maaltijden
1810510,buitenlandse maaltijden
1810515,binnenlandse maaltijden
1810520,maaltijdcomponenten
1820000,verse maaltijden
1820500,verse lunchproducten
1820505,belegd broodje/sandwich
1821000,vers dinerproducten
1821005,binnenlandse maaltijden
1821010,buitenlandse maaltijden
1821015,(maaltijd)soepen
1821020,pizza
1821025,maaltijdcomponenten / traiteurachtige producten
1830000,diepvries maaltijden
1830500,diepvries maaltijden
1830505,diepvries (maaltijd)soepen
1830510,k&k diepvriesmenu's
1830515,pizza's
1830520,maaltijdcomponenten
1830525,traiteurachtige producten
1900000,dierenvoeding
1910000,houdbare dierenvoeding
1910500,hondenvoer
1910505,droog hondenvoer
1910510,nat hondenvoer
1910515,snacks voor honden
1911000,kattenvoer
1911005,droog kattenvoer
1911010,nat kattenvoer
1911015,snacks voor katten
